vorname,anzahl,geschlecht,position
Sophie,58,w,2
Noah,37,m,1
Maria,36,w,2
Emilia,33,w,1
Marie,30,w,2
Leo,28,m,1
Mia,26,w,1
Emil,26,m,1
Maximilian,26,m,2
Adam,25,m,1
Theo,25,m,1
Ella,24,w,1
Charlotte,24,w,2
Charlotte,23,w,1
Mira,23,w,1
Emma,22,w,1
Anton,22,m,1
Liam,22,m,1
Theodor,22,m,1
Alexander,22,m,2
Emil,22,m,2
Clara,21,w,1
Lara,21,w,1
Lea,21,w,1
Sofia,20,w,1
Milan,20,m,1
Alma,18,w,1
Jonathan,18,m,1
Leon,18,m,1
Ida,17,w,1
Lina,17,w,1
Alexander,17,m,1
Jakob,17,m,1
Paul,17,m,1
Ava,16,w,1
Nora,16,w,1
Carlo,16,m,1
Karl,16,m,2
Elisa,15,w,1
Marie,15,w,1
Mila,15,w,1
Sophia,15,w,1
Arthur,15,m,1
Bruno,15,m,1
Felix,15,m,1
Levi,15,m,1
Malik,15,m,1
Hannah,14,w,1
Helena,14,w,1
Olivia,14,w,1
Johann,14,m,1
Sophia,14,w,2
Elias,14,m,2
Johann,14,m,2
Frida,13,w,1
Maja,13,w,1
Marlene,13,w,1
Mathilda,13,w,1
Matilda,13,w,1
Sophie,13,w,1
Carl,13,m,1
Finn,13,m,1
Hamza,13,m,1
Henry,13,m,1
Jonas,13,m,1
Julius,13,m,1
Louis,13,m,1
Luca,13,m,1
Oskar,13,m,1
Samuel,13,m,1
Emilio,13,m,2
Valentin,13,m,2
Anna,12,w,1
Emily,12,w,1
Johanna,12,w,1
Lena,12,w,1
Leonie,12,w,1
Meryem,12,w,1
Mina,12,w,1
Rosa,12,w,1
Benjamin,12,m,1
Elias,12,m,1
Kian,12,m,1
Leonard,12,m,1
Matteo,12,m,1
Elise,12,w,2
Johanna,12,w,2
Marlene,12,w,2
Paul,12,m,2
Cleo,11,w,1
Hanna,11,w,1
Lia,11,w,1
Liya,11,w,1
Medina,11,w,1
Nisa,11,w,1
David,11,m,1
Gabriel,11,m,1
Jona,11,m,1
Karl,11,m,1
Maximilian,11,m,1
Milo,11,m,1
Moritz,11,m,1
Rio,11,m,1
Friedrich,11,m,2
Jakob,11,m,2
Matteo,11,m,2
Ada,10,w,1
Alva,10,w,1
Amelie,10,w,1
Antonia,10,w,1
Eva,10,w,1
Karla,10,w,1
Kira,10,w,1
Mara,10,w,1
Sara,10,w,1
Tilda,10,w,1
Fritz,10,m,1
Julian,10,m,1
Kaan,10,m,1
Lio,10,m,1
Mateo,10,m,1
Rafael,10,m,1
Amelie,10,w,2
Aurelia,10,w,2
Carlotta,10,w,2
Louise,10,w,2
Matilda,10,w,2
Johannes,10,m,2
Leonard,10,m,2
Carlotta,9,w,1
Ela,9,w,1
Luise,9,w,1
Yuna,9,w,1
Ben,9,m,1
Jonah,9,m,1
Joshua,9,m,1
Konstantin,9,m,1
Lukas,9,m,1
Vincent,9,m,1
Lou,9,w,2
Pauline,9,w,2
Victoria,9,w,2
Henri,9,m,2
Jan,9,m,2
Levi,9,m,2
Elisabeth,9,w,3
Elif,8,w,1
Elisabeth,8,w,1
Flora,8,w,1
Isabella,8,w,1
Leni,8,w,1
Marla,8,w,1
Maya,8,w,1
Ronja,8,w,1
Daniel,8,m,1
Emilio,8,m,1
Lian,8,m,1
Tim,8,m,1
Ava,8,w,2
Lia,8,w,2
Lina,8,w,2
Luise,8,w,2
Mathilda,8,w,2
Philippa,8,w,2
Anton,8,m,2
Felix,8,m,2
Michael,8,m,2
Theodor,8,m,2
Marie,8,w,3
Amira,7,w,1
Elena,7,w,1
Livia,7,w,1
Lotta,7,w,1
Louisa,7,w,1
Selma,7,w,1
Thea,7,w,1
Victoria,7,w,1
Ali,7,m,1
Caspar,7,m,1
Frederik,7,m,1
Gustav,7,m,1
Henri,7,m,1
Ilay,7,m,1
Ilyas,7,m,1
Issa,7,m,1
Kiyan,7,m,1
Leonardo,7,m,1
Leopold,7,m,1
Mert,7,m,1
Niklas,7,m,1
Ole,7,m,1
Piet,7,m,1
Raphael,7,m,1
Rayan,7,m,1
Valentin,7,m,1
Zayn,7,m,1
Amalia,7,w,2
