vorname,anzahl,geschlecht,position
Marie,47,w,2
Maria,41,w,2
Sophie,36,w,2
Emil,36,m,1
Noah,33,m,1
Paul,31,m,1
Charlotte,30,w,1
Emma,30,w,1
Emilia,27,w,1
Anna,26,w,1
Ella,26,w,1
Anton,25,m,1
Oskar,25,m,1
Sophia,25,w,1
Alexander,24,m,2
Jakob,22,m,1
Maximilian,22,m,1
Mia,22,w,1
Mira,22,w,1
Maximilian,21,m,2
Ali,20,m,2
Jonathan,20,m,1
Julia,20,w,1
David,19,m,1
Louis,19,m,1
Mathilda,19,w,1
Charlotte,18,w,2
Adam,18,m,1
Emily,18,w,1
Leo,18,m,1
Ida,18,w,1
Leon,18,m,1
Lina,18,w,1
Theo,18,m,1
Mila,18,w,1
Ali,17,m,1
Maria,17,w,1
Elias,17,m,1
Felix,17,m,1
Theodor,17,m,1
Paul,16,m,2
Johanna,16,w,1
Lara,16,w,1
Lea,16,w,1
Karl,16,m,1
Paula,16,w,1
Jakob,15,m,2
Johann,15,m,1
Hanna,15,w,1
Levi,15,m,1
Marie,15,w,1
Milan,15,m,1
Luise,14,w,2
Frida,14,w,1
Liam,14,m,1
Laura,14,w,1
Max,14,m,1
Moritz,14,m,1
Elisabeth,13,w,2
Ava,13,w,1
Clara,13,w,1
Ben,13,m,1
Elena,13,w,1
Benjamin,13,m,1
Greta,13,w,1
Jonas,13,m,1
Maya,13,w,1
Leonard,13,m,1
Luca,13,m,1
Vincent,13,m,1
Elias,12,m,2
Johanna,12,w,2
Matilda,12,w,1
Nora,12,w,1
Olivia,12,w,1
Alexander,12,m,1
Tilda,12,w,1
Daniel,12,m,1
Simon,12,m,1
Tim,12,m,1
Karl,11,m,2
Valentin,11,m,2
Anna,11,w,2
Emilia,11,w,2
Alma,11,w,1
Elisabeth,11,w,1
Leonie,11,w,1
Bruno,11,m,1
Rosa,11,w,1
Friedrich,11,m,1
Sophie,11,w,1
Julian,11,m,1
Anton,10,m,2
David,10,m,2
Rose,10,w,2
Emil,10,m,2
Jonathan,10,m,2
Martin,10,m,2
Hannah,10,w,1
Edgar,10,m,1
Juna,10,w,1
Finn,10,m,1
Lena,10,w,1
Luis,10,m,1
Luise,10,w,1
Yusuf,10,m,1
Mina,10,w,1
Anh,9,m,3
Helene,9,w,2
Louis,9,m,2
Adrian,9,m,1
Amelie,9,w,1
Arthur,9,m,1
Frieda,9,w,1
Erik,9,m,1
Helena,9,w,1
Henry,9,m,1
Luna,9,w,1
Lukas,9,m,1
Marlene,9,w,1
Mateo,9,m,1
Meryem,9,w,1
Mattis,9,m,1
Sofia,9,w,1
Samuel,9,m,1
Tony,9,m,1
Ömer,9,m,1
Maria,8,w,3
Greta,8,w,2
Lou,8,w,2
Sophia,8,w,2
Ferdinand,8,m,2
Friedrich,8,m,2
Leander,8,m,2
Leo,8,m,2
Leon,8,m,2
Levi,8,m,2
Samuel,8,m,2
Elif,8,w,1
Elisa,8,w,1
Lia,8,w,1
Carl,8,m,1
Lotta,8,w,1
Emir,8,m,1
Luisa,8,w,1
Hamza,8,m,1
Marla,8,w,1
Hüseyin,8,m,1
Merle,8,w,1
Ibrahim,8,m,1
Jan,8,m,1
Johnny,8,m,1
Joshua,8,m,1
Matteo,8,m,1
Milo,8,m,1
Muhammed,8,m,1
Omar,8,m,1
Philipp,8,m,1
Elisa,7,w,2
Lea,7,w,2
Victoria,7,w,2
Arthur,7,m,2
Felix,7,m,2
Finn,7,m,2
Liam,7,m,2
Luca,7,m,2
Maxim,7,m,2
Michael,7,m,2
Ada,7,w,1
Alva,7,w,1
Josephine,7,w,1
Klara,7,w,1
Leyla,7,w,1
Lisa,7,w,1
Martha,7,w,1
Pauline,7,w,1
Pia,7,w,1
Aaron,7,m,1
Stella,7,w,1
Ahmad,7,m,1
Amir,7,m,1
Carlo,7,m,1
Fiete,7,m,1
Florian,7,m,1
Georg,7,m,1
Gustav,7,m,1
Henri,7,m,1
Johan,7,m,1
Justus,7,m,1
Lucas,7,m,1
Mert,7,m,1
Mohammad,7,m,1
Niklas,7,m,1
Ole,7,m,1
Alexandra,6,w,2
Anh,6,w,2
Jasmin,6,w,2
Lina,6,w,2
Luisa,6,w,2
